competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,66053,Carnation Orange,Carnations,Stem,Orange,,1,0.44,0.44,350,Colombia,Carnation Orange,2025-06-01,2025-06-10
DVFlora,62805,Carnation Orange Megan,Carnations,Stem,Orange,,1,0.49,0.49,75,Colombia,Carnation Orange Megan,2025-06-01,2025-06-10
DVFlora,52192,Carnation Orange Trueno,Carnations,Stem,Orange,,1,0.49,0.49,75,Colombia,Carnation Orange Trueno,2025-06-01,2025-06-10
DVFlora,59320,Carnation Gold,Carnations,Stem,Gold,,1,0.46,0.46,75,Colombia,Carnation Gold,2025-06-01,2025-06-10
DVFlora,56042,Carnation Pink-Hot,Carnations,Stem,Pink Hot,,1,0.44,0.44,350,Colombia,Carnation Pink-Hot,2025-06-01,2025-06-10
DVFlora,62796,Carnation Pink-Hot Bizet,Carnations,Stem,Pink Hot,,1,0.52,0.52,75,Colombia,Carnation Pink-Hot Bizet,2025-06-01,2025-06-10
DVFlora,68380,Carnation Brut,Carnations,Stem,Champagne/Blush,,1,0.46,0.46,350,Colombia,Carnation Brut,2025-06-01,2025-06-10
DVFlora,20710,Carnation Select Moon Aqua,Carnations,Stem,Lavender Light,,1,0.69,0.69,300,Colombia,Carnation Select Moon Aqua,2025-06-01,2025-06-10
DVFlora,52191,Carnation Pink-DK Cervantes,Carnations,Stem,Pink-Dark,75,1,0.49,0.49,75,Colombia,Carnation Pink-DK Cervantes,2025-06-01,2025-06-10
DVFlora,50937,Florinca Assorted,Alstroemeria,Bu,Assorted,,1,5.69,5.69,10,Colombia,Florinca Assorted,2025-06-01,2025-06-10
DVFlora,65802,Carnation Peach Lege Marrn,Carnations,Stem,Antique Beige/Pch,,1,0.52,0.52,75,Colombia,Carnation Peach Lege Marrn,2025-06-01,2025-06-10
DVFlora,60522,Carnation Purple,Carnations,Stem,Purple,,1,0.48,0.48,350,Colombia,Carnation Purple,2025-06-01,2025-06-10
