competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Dvflora,58685,Pom Pon Santini Ylw OkiDoki 6p,Pom Pons,Bu,Yellow,,1,4.79,4.79,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,okidoki pom pon santini yellow,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23324,Pom Pon Santini Pink Frenzy,Pom Pons,Bu,Lavender,,1,3.49,3.49,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,frenzy pink pom pon santini,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,54737,Pom Pon Santini Katty 6pk,Pom Pons,Bu,White,,1,3.99,3.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,katty pom pon santini,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,67616,Pom Pon Santini Wht Katty 14pk,Pom Pons,Bu,White,,1,4.19,4.19,14,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,katty pom pon santini white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23324,Pom Pon Santini Pink Frenzy,Pom Pons,Bu,Pink,,1,3.49,3.49,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,frenzy pink pom pon santini,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,24086,Rose Wht Playa Blnca 40c cs50,Roses-Standard,Stem,White,40,1,1.39,1.39,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,29963,Rose Wht Playa Blnca 40cm,Roses-Standard,Stem,White,40,1,1.49,1.49,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,57044,Rose Wht Playa Blnca 50c Cs100,Roses-Standard,Stem,White,50,1,1.79,1.79,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,67352,Rose Wht Playa Blnca 50cm,Roses-Standard,Stem,White,50,1,1.89,1.89,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,52977,Rose Wht Playa Blnca 50cm cs50,Roses-Standard,Stem,White,50,1,1.79,1.79,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
