competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,1859145,Alstro Red Nadya Super S.,Alstroemerias,Bunch,Red,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,1860875,Alstro Red Natalya Fancy,Alstroemerias,Bunch,Red,,1,6.23,6.23,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2273671,Alstro Red Red Queen Super S.,Alstro,Bunch,Red,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1904239,Alstro Red Romance Fancy,Alstro,Bunch,Red,,1,8.78,8.78,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1862483,Alstro Red Romance Select,Alstro,Bunch,Red,,1,9.93,9.93,Cote D'Azur Alstroemeria,5acf2983-2637-4832-8328-705f1d4a29d4,0.9001954197883606,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1922184,Alstro Red Romance Super S.,Alstro,Bunch,Red,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2274038,Alstro Red Select,Alstro,Bunch,Red,,1,7.9,7.9,Cote D'Azur Alstroemeria,5acf2983-2637-4832-8328-705f1d4a29d4,0.9048640727996826,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1863226,Alstro White Himalaya Fancy,Alstro,Bunch,White,,1,8.78,8.78,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1864601,Alstro White Himalaya Select,Alstro,Bunch,White,,1,9.93,9.93,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1887839,Alstro White Himalaya Super S.,Alstro,Bunch,White,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2136818,Alstro White Mistral Fancy,Alstro,Bunch,White,,1,8.78,8.78,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2136820,Alstro White Mistral Select,Alstro,Bunch,White,,1,9.93,9.93,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2136822,Alstro White Mistral Super S.,Alstro,Bunch,White,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2211630,Alstro White Snowtime Fancy,Alstro,Bunch,White,,1,8.78,8.78,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2211631,Alstro White Snowtime Select,Alstro,Bunch,White,,1,9.93,9.93,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2211633,Alstro White Snowtime Super S.,Alstro,Bunch,White,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2143150,Alstro White Virginia Fancy,Alstro,Bunch,White,,1,8.75,8.75,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2143152,Alstro White Virginia Select,Alstro,Bunch,White,,1,9.93,9.93,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1859497,Alstro White Whistler Fancy,Alstroemerias,Bunch,White,,1,8.78,8.78,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,1864604,Alstro White Whistler Select,Alstro,Bunch,White,,1,9.93,9.93,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1859500,Alstro White Whistler Super S.,Alstro,Bunch,White,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2136824,Alstro White Winterfell Fancy,Alstro,Bunch,White,,1,8.78,8.78,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2140558,Alstro White Winterfell Select,Alstro,Bunch,White,,1,9.93,9.93,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2140560,Alstro White Winterfell Super S.,Alstro,Bunch,White,,1,11.03,11.03,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1922186,Alstro Yellow Cheesecake Select,Alstro,Bunch,Yellow,,1,10.45,10.45,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1922189,Alstro Yellow Cheesecake Super S.,Alstro,Bunch,Yellow,,1,12.05,12.05,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2236781,Alstro Yellow Gold Select,Alstro,Bunch,Yellow,,1,10.45,10.45,Cote D'Azur Alstroemeria,5acf2983-2637-4832-8328-705f1d4a29d4,0.9101061820983887,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2243379,Alstro Yellow Gold Super S.,Alstro,Bunch,Yellow,,1,12.05,12.05,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1865618,Alstro Yellow Jamaica Select,Alstroemerias,Bunch,Yellow,,1,10.45,10.45,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2155498,Alstro Yellow Sunny Lady Fancy,Alstro,Bunch,Yellow,,1,9.3,9.3,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2127718,Alstro Yellow Sunny Lady Select,Alstro,Bunch,Yellow,,1,10.45,10.45,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2171332,Alstro Yellow Sunny Lady Super S.,Alstro,Bunch,Yellow,,1,12.05,12.05,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,1857907,Alstro Yellow Voyager Fancy,Alstroemerias,Bunch,Yellow,,1,9.3,9.3,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2136828,Alstro Yellow Voyager Select,Alstro,Bunch,Yellow,,1,10.45,10.45,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-07,2025-05-08
Flowermarketplace,2184236,Alstroemeria Assorted 12 BU/BX SELECT,Alstroemeria,Bunch,Assorted,,1,13.22,13.22,Assorted Select  Alstroemeria,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.9981849789619446,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,15,ALSTROEMERIA ORANGE QUEEN,Alstroemerias,Bunch,Orange,,1,9.93,9.93,Queen Alstroemeria,bae61c21-1ea5-4cd0-b1bc-0f870a915d75,0.9992372989654541,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,327572,ALSTROEMERIA RED,Alstroemerias,Bunch,Red,,1,8.73,8.73,Pink Alstroemeria,9081143f-3331-4d34-8d76-61811507cc71,0.9992037415504456,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2220874,Alstroemeria White Select 12 BU/BX,Alstroemeria,Bunch,White,,1,13.22,13.22,Assorted Select  Alstroemeria,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.9981849789619446,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2224552,Amaranthus Bleached 30 BU/BX,Amaranthus,Bunch,Beige,,1,30.56,30.56,Upright Green Amaranthus,97fd7938-03d9-4e24-94f9-4c65182aebe3,0.9887354373931885,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,324966,AMARANTHUS HANGING GREEN,Amaranthus,Stems,Green,,1,3.47,3.47,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2155501,Anemone Hot Pink,anemone spx,Stems,,3035,30,3.1,0.1033,Pink Anemone,1da10f06-1878-4537-8646-a5074c0b5743,0.9958229064941406,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,0.9140786528587341,2025-05-07,2025-05-08
Flowermarketplace,1862074,Anemone White,Anemone,Stems,,3035,30,3.1,0.1033,Pink Anemone,1da10f06-1878-4537-8646-a5074c0b5743,0.9926725625991821,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,1897430,ANEMONE RED,Anemone,Bunch,Red,,1,22.82,22.82,Pink Anemone,1da10f06-1878-4537-8646-a5074c0b5743,0.9926725625991821,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2077796,ANEMONE WHITE,Anemone,Bunch,White,,1,24.21,24.21,Pink Anemone,1da10f06-1878-4537-8646-a5074c0b5743,0.9926725625991821,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2228578,Aralia assorted mix 15 bu/bx,Aralia,Bunch,Assorted,,1,10.0,10.0,,,,Aralia,10b20333-d122-4699-b140-96914c6046aa,1.0,2025-05-07,2025-05-08
