competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,1859173,Alstro Hot Pink Amposta Select,Alstroemerias,Bunch,,1,11.48,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,2086613,Alstro Hot Pink Navarro Fancy,Alstro,Bunch,,1,10.4,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,1862477,Alstro Light Pink Dubai Super S.,Alstroemerias,Bunch,,1,12.53,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,1862480,Alstro Orange Hot Pepper Select,Alstroemerias,Bunch,,1,9.43,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,1894559,Alstro Orange Hot Pepper Super S.,Alstroemerias,Bunch,,1,10.48,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,1865615,Alstro Purple Napoli Super S.,Alstro,Bunch,,1,11.5,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,2271333,Alstro Purple Shiny Purple Select,Alstro,Bunch,,1,10.45,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,2219959,Alstro Purple Shiny Purple Super S.,Alstro,Bunch,,1,11.5,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,1859188,Alstro Red Nadya Fancy,Alstroemerias,Bunch,,1,7.85,Cote D'Azur Alstroemeria,5acf2983-2637-4832-8328-705f1d4a29d4,0.9012876749038696,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,1859142,Alstro Red Nadya Select,Alstroemerias,Bunch,,1,9.43,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,1859145,Alstro Red Nadya Super S.,Alstroemerias,Bunch,,1,10.48,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,2273671,Alstro Red Red Queen Super S.,Alstro,Bunch,,1,8.95,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
Flowermarketplace,1904239,Alstro Red Romance Fancy,Alstro,Bunch,,1,7.85,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,0.9142485857009888,2025-05-09,2025-05-10
