competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,stem_price,created_at,eta_date
FlowerMarketplace,2160556,ALSTROEMERIA YELLOW,Alstroemerias,Bunch,,1,7.79,2025-06-02,2025-06-10
FlowerMarketplace,2160558,AMARANTHUS HANGING ASSORTED,Amaranthus,Stems,,1,2.94,2025-06-02,2025-06-10
FlowerMarketplace,2276912,AMARANTHUS HANGING CAUDATUS ROSARY,Amaranthus,Stems,80,1,5.68,2025-06-02,2025-06-10
FlowerMarketplace,2276914,AMARANTHUS HANGING CAUDATUS ROSARY,Amaranthus,Stems,80,1,4.93,2025-06-02,2025-06-10
FlowerMarketplace,2276916,AMARANTHUS HANGING CORDATA RED,Amaranthus,Stems,80,1,6.88,2025-06-02,2025-06-10
FlowerMarketplace,2276918,AMARANTHUS HANGING CORDATA RED,Amaranthus,Stems,80,1,5.98,2025-06-02,2025-06-10
FlowerMarketplace,2160560,AMARANTHUS HANGING GREEN,Amaranthus,Stems,,1,2.94,2025-06-02,2025-06-10
FlowerMarketplace,2160562,AMARANTHUS HANGING RED,Amaranthus,Stems,,1,2.94,2025-06-02,2025-06-10
FlowerMarketplace,2160564,ANEMONE ASSORTED,Anemone,Bunch,,1,16.15,2025-06-02,2025-06-10
FlowerMarketplace,2160566,ANEMONE BLUSH,Anemone,Bunch,,1,20.83,2025-06-02,2025-06-10
FlowerMarketplace,2236674,ANEMONE BURGUNDY,Anemone,Bunch,,1,21.28,2025-06-02,2025-06-10
FlowerMarketplace,2160568,ANEMONE HOT PINK,Anemone,Bunch,,1,20.83,2025-06-02,2025-06-10
FlowerMarketplace,2236623,ANEMONE LEVANTE BLUE,Anemone,Bunch,,1,21.28,2025-06-02,2025-06-10
FlowerMarketplace,2236627,ANEMONE LEVANTE HOT PINK,Anemone,Bunch,,1,21.28,2025-06-02,2025-06-10
FlowerMarketplace,2236625,ANEMONE LEVANTE PINK,Anemone,Bunch,,1,21.28,2025-06-02,2025-06-10
FlowerMarketplace,2236626,ANEMONE LEVANTE RED,Anemone,Bunch,,1,21.28,2025-06-02,2025-06-10
FlowerMarketplace,2236624,ANEMONE LEVANTE WHITE,Anemone,Bunch,,1,21.28,2025-06-02,2025-06-10
