competitor_product_id,competitor,matched_ibuyflowers,matched_variety
484145,Aster Matsumoto Purple,Aster Blue Matsumoto Purple,22655a27-ee45-401b-b4c1-41a86d6d4c8b
484145,Aster Matsumoto Purple,Aster Blue Matsumoto Purple,22655a27-ee45-401b-b4c1-41a86d6d4c8b
484146,Aster Matsumoto Red,Aster Matsumoto Pink,767c14cc-0bf0-48c1-92ff-ce47d2e98a52
484146,Aster Matsumoto Red,Aster Matsumoto Pink,767c14cc-0bf0-48c1-92ff-ce47d2e98a52
484147,Aster Matsumoto White,Aster Matsumoto White,c38a132b-36e9-49db-ac66-d3f401dc8a9b
484147,Aster Matsumoto White,Aster Matsumoto White,c38a132b-36e9-49db-ac66-d3f401dc8a9b
484153,Aster Montecasino White,Null,Null
1540958,Aster Sungal Purple,Aster Purple Sungal,86be0e0b-0dd2-4916-8725-cc78e0141c6f
1540958,Aster Sungal Purple,Aster Purple Sungal,86be0e0b-0dd2-4916-8725-cc78e0141c6f
1540957,Aster Sunrio White,Aster Sunrio White,eca4c5d8-f42a-4c7b-a042-13857053a9c3
1051721,Astrantia Burgundy,Astrantia Burgundy,64c28247-d0d7-48de-b89d-9977f6cb5a80
514557,Astrantia Light Pink,Astrantia Light Pink,2866cb45-f725-4a0a-bd05-bd142052a02a
1053054,Astrantia Pink,Astrantia Pink,592d1f9d-d7a5-44c8-a2dd-31e033e6d644
514560,Astrantia White,Astrantia White,b86d08b2-d95f-446b-ae1e-b8300ffe0059
514564,Atriplex Green,Null,Null
666513,Bells of Ireland Green Long,Bells Green Ireland Molucella Of,7a807e5f-c371-4970-ba7c-0382161d9a1e
666512,Bells of Ireland Green Medium,Bells Green Ireland Molucella Of,7a807e5f-c371-4970-ba7c-0382161d9a1e
1006583,Bells of Ireland Green Xlong,Bells Green Ireland Molucella Of,7a807e5f-c371-4970-ba7c-0382161d9a1e
514596,Berzelia Baubles Green,Null,Null
514596,Berzelia Baubles Green,Null,Null
