competitor_product_id,competitor,matched_ibuyflowers,matched_variety
4548207640675,Boulevard Rose,Boulevard Pink Roses,b9b7e6f1-6d99-4630-9d65-0d5b2a1e7db7
7988814414133,Brighton Rose,Brighton Roses Yellow,6cf94d7e-0d53-4cf4-b734-d3909bda388d
8206180122933,Brillantina ,Brillantina Green Pittosporum,be4b1921-efe4-4e66-be9a-f6f043a32fbc
4718256521315,Brindisi Lily 35 Bloom ,Bl Brindisi Hybrids La Lilies Pink,3867686a-af0b-4fa4-b286-22ee22d9ef73
8464566485301,Bromo Rose,Bromo Orange Roses,81b050d1-4d64-44f0-a96f-88f44dbefff6
3682931245117,Brunello Lily 35 Bloom ,Asiatic Bl Brunello Lilies Orange,627a91f5-49fa-4052-b7c1-32146d293ab7
8062177182005,Brut Carnation ,Blush Brut Carnation,00277380-3ecc-45bc-875e-5fc3254c3534
8881389633845,Bumblebee Rose,Bumblebee Roses Yellow,5f8cf9c5-d7c3-4bc9-8526-dce26335260c
6685041918051,Bupleurum ,Bupleurum Green,f4e7a51e-5255-40b1-a8b6-aca0acf488a8
10035694829877,Burgundy Anemone ,Null,Null
4375901732963,Burgundy Astrantia (berry) ,Astrantia Burgundy,64c28247-d0d7-48de-b89d-9977f6cb5a80
4405839200355,Burgundy Elegance Ranunculus ,Elegance Ranunculus Red,c9f789aa-70d3-4166-bbf5-04b16a0562dc
1792881590333,Butterscotch Rose,Butterscotch Roses Yellow,c7d4819b-158f-4270-8da7-d1fa4b3f0c0f
8152313069877,Cabaret Rose,Cabaret Pink Roses,2c6f8943-46db-4cac-b03c-538975fbafa4
4545921384547,Cafe Del Mar Rose,Brown Cafe Del Mar Roses,3ad3880e-b0b6-42be-b375-48ac7b7e5a45
10045673603381,Cafe Latte Chrysanthemum ,Null,Null
4728992170083,Candlelight Garden Rose,Candlelight Garden Roses White,456c8fb1-5a0a-4957-a23d-a13a246b6acb
8163478667573,Candy Xpression Garden Rose,Candy Garden Pink Roses Spray,20ca6f84-3818-4e67-8957-7d9e7bec4f79
6683699183715,Caraluna Garden Rose,Null,Null
6654363336803,Carmine Pink Obelix Aster Select ,Null,Null
8381353918773,Carpe Diem Rose,Carpediem Cream Roses,df00ce57-eb54-4342-870f-978e765c819d
1827074637885,Cas Solomio ,Cas Dianthus Pink Solomio,73bcc1a7-2e09-423d-ab4c-b439eebb6ad2
1794573107261,Catalina Garden Rose,Catalina Garden Roses Yellow,06a5831f-2d31-4a36-969f-15554b8c0434
1863667220541,Catina Oriental Lily 35 Bloom ,Null,Null
8476089221429,Cayenne Rose,Cayenne Orange Roses,923121cd-61d4-4e80-a797-a44c5ef4a16e
8594340544821,Chameleon Rose,Null,Null
8675815719221,Champagne Cremon Chrysanthemum ,Chrysanthemum Cremon Disbuds/ Mums White,45a378e6-4319-413f-9fa2-4dce02b62562
6612485275747,Champagne Sweetheart Rose,Champagne Cream Petit Roses,a1a01360-bf36-432e-8050-1ca59ea1c3a5
1771626201149,Charming Corneille Garden Rose,Charming Corneille Garden Pink Roses,4ca32c57-9e60-430e-a636-f0c80e8f65e4
8273467539765,Cherry Brandy Rose,Null,Null
8606096294197,Cherry Carpe Diem Rose,Null,Null
4749605568611,Cherry O!,Cherry Oh! Pink Roses,692bcb92-31d6-401a-bd7d-f1d524b23464
8807309508917,Chocolate Elegance Ranunculus ,Chocolate Elegance Ranunculus Red,f8ec7f12-aa02-4379-92f2-23c2ed49703d
4419682173027,Christa Rose,Christa Pink Roses,249a2e77-e4fc-426b-8295-8563988295e3
8745663529269,Clearwater Carnation ,Carnation Clearwater Purple,11e9e4cc-cc64-4b98-9dfe-138e4571bb12
1842279186493,Cocculus ,Cocculus Green,38e27336-fc0a-4a08-b78f-bf8f7533511d
8476367028533,Coldplay Garden Rose,Coldplay Roses White,c9c39b04-16e0-4bff-a67e-183e2b97b1c1
4749606092899,Constanza Rose,Null,Null
8476565307701,Cool Down Rose,Cool Down Lavender Roses,bd55aced-4e0b-4f19-8e43-7878b9a6dd2a
6653015785571,Cool Romance White Hypericum ,Null,Null
1790629576765,Cool Water Rose,Null,Null
4405840380003,Coral Elegance Ranunculus ,Coral Elegance Peach Ranunculus,8cd06f9a-e843-46ec-91f9-b2998d471eba
1822209146941,Coral Reef Rose,Coral Orange Reef Roses,ced01f80-2bd2-4e13-a6c2-5f971f160ed7
9013614575925,Coral Success Cloni Ranunculus 40 ,Ranunculus Success White,5d309f21-0abe-4bfe-9e59-c83edc3fb4c6
