competitor_product_id,competitor,matched_ibuyflowers,matched_variety
2160662,Callas Dark Schwarzwalder,Null,Null
2160664,Callas Denver,Null,Null
2160666,Callas Fantasia,Null,Null
2160668,Callas Flame,Null,Null
2160670,Callas Florex Gold,Null,Null
2160672,Callas Gran Paradiso,Calla Gran Mini Orange Paradiso,0d0791cc-05f8-4eab-bfca-c42c6aefc8cf
2160674,Callas Hawaiian Papaya,Null,Null
2160676,Callas Open Ccut,Calla's Cut Natural Open White,97871982-673d-443f-8dc5-10b2f9e1e84d
2160678,Callas Paco,Calla Mini Paco Purple,182072bd-c8f7-4d4c-8c27-f666ecdb0db8
2160680,Callas Perle Rose,Calla Mini Perla Pink Rose,578b1aba-c486-4e1d-9877-914485e61470
2160682,Callas Picasso,Calla Mini Picasso Purple,6ab4e7dc-8828-40c3-b46f-2a9ca44f76e0
2160684,Callas Pink Panther,Null,Null
2160686,Callas Purple Star,Null,Null
2160688,Callas Raspberry,Null,Null
2160690,Callas Red Aranal,Null,Null
2160692,Callas Rubylite Rose,Null,Null
2160694,Callas Schwarzwalder,Null,Null
2160696,Callas Siamese Calla,Null,Null
2160698,Callas Strauss,Null,Null
2160700,Callas Tequila Sunrise,Calla Mini Sunrise Tequila Yellow,0b1b98ac-ebbe-414c-bcd4-58e54ec95eca
2160702,Carnation Antigua Fancy,Antigua Carnation Pink,e493d98f-aed8-4d17-9e1b-06ffdf99ff37
2192246,Carnation Apple Tea,Apple Carnation Salmon Tea,eb7a11d5-c238-4d02-9a9d-5cf51790998a
2160704,Carnation Assorted Fancy,Assorted Carnation Mixed Specialty,6a7ddd14-19f6-485c-90cc-813ea14f9487
2192254,Carnation Ayame,Null,Null
2160706,Carnation Burgundy Fancy,Burgundy Carnation Zurigo,6842cf5e-5e8b-47fa-9eaa-d31546c0b515
2192251,Carnation Cheerio,Carnation Cheerio Pink,65f0e354-0d0b-4923-941f-3cd88080f4ea
2160708,Carnation Cream Fancy,Carnation Cream Trendy,5002a33f-585f-41c6-9c81-18b3884f9c24
2160710,Carnation Dark Pink Fancy,Null,Null
2192237,Carnation Fabulous,Null,Null
2192249,Carnation Farida,Carnation Farida Lavender,9543b07a-1958-4fb1-b397-d2d95adbd3e8
2192253,Carnation Fiesta Komachi,Carnation Komachi Pink,c12fdaaf-a7ad-4b88-9489-f6912edf061f
2220930,Carnation Fiesta Komachi,Carnation Komachi Pink,c12fdaaf-a7ad-4b88-9489-f6912edf061f
2160712,Carnation Green Fancy,Carnation Green,aac3938f-2de1-4f73-945b-ad9dca027473
2160714,Carnation Hot Pink Fancy,Carnation Hot Pink,e3a3412a-6db4-4f05-8139-78436cf8de20
2192247,Carnation Illusion,Null,Null
2192239,Carnation Lege Marrone,Carnation Lege Marrone Pink,17d100cb-9735-4ded-8147-c2ca48d20838
2192244,Carnation Megan,Carnation Megane Orange,997bb63c-09a0-4ba3-8524-9aaf3b129b2e
2192250,Carnation Minerva,Null,Null
2160716,Carnation Mini Assorted,Berry Carnation Mini Purple Spray,a310eb2e-172e-445f-afef-5891705af9b8
2160718,Carnation Mini Cream,Carnation Cream Mini Spray,4680589e-4077-45e0-980f-eaac00f5e7e5
2160720,Carnation Mini Green,Carnation Green Jade Mini Spray,01242e9b-3ce2-409d-9280-ea8652ed0dcb
2160722,Carnation Mini Hot Pink,Carnation Mini Pink Spray,fb9ac752-718a-4e47-b1e1-f3b0c8767ceb
2160724,Carnation Mini Lavender,Carnation Mini Purple Spray,aed7af48-92aa-4224-8dd2-1c2915b33d04
2160726,Carnation Mini Light Pink,Carnation Mini Pink Spray,fb9ac752-718a-4e47-b1e1-f3b0c8767ceb
2160728,Carnation Mini Lilac,Carnation Mini Purple Spray,aed7af48-92aa-4224-8dd2-1c2915b33d04
2160730,Carnation Mini Moon Series,Carnation Mini Moon Purple Spray Velvet,0ec23b55-fbab-4f5a-85d4-c9c063553631
2160732,Carnation Mini Novelty,Assorted Carnation Mixed Novelty,662d86f9-a874-4d93-9bf0-26021fe24294
2160734,Carnation Mini Orange,Carnation Mini Orange Spray,b59a43f5-e6e3-4d35-878e-06a6efe6c702
2160736,Carnation Mini Peach,Carnation Mini Peach Spray,5de9e8a5-4ed4-4767-9c60-e7c2b5b25ba3
2160738,Carnation Mini Pink,Carnation Mini Pink Spray,fb9ac752-718a-4e47-b1e1-f3b0c8767ceb
2160740,Carnation Mini Purple,Carnation Mini Purple Spray,aed7af48-92aa-4224-8dd2-1c2915b33d04
2160742,Carnation Mini Red,Carnation Mini Red Spray,10b23582-414f-43e2-bb8e-e34d3a3d9b26
2160744,Carnation Mini White,Carnation Mini Spray White,b9a8b807-6771-4f5d-bd00-e4984e08cf3b
2160746,Carnation Mini Yellow,Carnation Mini Spray Yellow,a89a5ffd-f1a4-4d0e-a59f-e3de4a2db5e0
2161251,Carnation Moon Series Assorted,Null,Null
2160748,Carnation Moonaqua,Null,Null
2160750,Carnation Moonshade,Carnation Light Moon White,342a64ae-407a-476b-8d21-0ef98fcd7bc8
2192241,Carnation Moonshade,Carnation Light Moon White,342a64ae-407a-476b-8d21-0ef98fcd7bc8
2192243,Carnation Nobbio,Carnation Nobbio Violet,863702ac-82b2-4f12-a228-18602a64b1ec
2160752,Carnation Novelty Fancy,Null,Null
2160754,Carnation Orange Fancy,Carnation Orange,a1a3331a-c01c-4f0d-96b6-aafc9c1d6916
2160756,Carnation Peach Fancy,Carnation Peach,7930d085-6b9d-4ed5-9ea4-30b0e9367ffd
2192242,Carnation Peppermint,Carnation Peppermint,92b0e80d-9e76-44fd-9ddc-6d09c4d7d258
2160758,Carnation Pink Fancy,Carnation Pink,099afe34-5d77-4e3d-ad1b-9de715fb92cd
2192248,Carnation Prado,Null,Null
2160760,Carnation Purple Fancy,Carnation Purple,fb8b6922-4224-411c-9394-af6158a59086
2160762,Carnation Red Fancy,Carnation Daniko Red,f3a8ae3a-cbf3-437d-9246-a6cc84d67593
2192245,Carnation Rodas,Carnation Cream Rodas,7bc4524d-03a3-4686-a110-837f67016bc2
2192252,Carnation Viana,Carnation Viana Yellow,d4b3d8aa-c1d5-4249-b613-6c227b359844
2192238,Carnation Vintage Copper,Null,Null
2160764,Carnation Vintage Mix Fancy,Null,Null
2160766,Carnation White Fancy,Carnation White,091560ba-78a3-4c6c-b0f6-3729d9a26b38
2160768,Carnation Yellow Fancy,Carnation Yellow,7d5112c6-516a-44b4-bcb6-e2e6331ca10f
2162243,Cinerea Metal Copper 150 Green,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2162241,Cinerea Metal Gold 150 Green,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2162244,Cinerea Metal Red 150 Green,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2162242,Cinerea Metal Silver 150 Green,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2162245,Cinerea Silver 150 Green,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2227852,Cremon Peach,Carnation Creta Peach,8a8fee07-6ce7-49c2-957b-0a0c333c8d2e
2161273,Curly Willow Tips,Curly Green Tips Willow,Null
2163478,Dahlia Amora,Null,Null
2163504,Dahlia Assorted,Null,Null
2163480,Dahlia Café Aulait,Au Cafe Cream Dahlias Lait,5171df9b-74ec-417b-b459-ff2277340a33
2163482,Dahlia Fox Maroon,Null,Null
2163484,Dahlia Fox Orange,Null,Null
2163486,Dahlia Garnet,Null,Null
2163488,Dahlia Karma Chocolate,Null,Null
2163492,Dahlia Karma Corona,Null,Null
2163490,Dahlia Karma Corona Pink,Null,Null
2163494,Dahlia Moon Stone,Null,Null
2163496,Dahlia Moonlady,Null,Null
2163498,Dahlia Orange Quartz,Ball Dahlias Orange Type,d18c762f-528b-4181-8b0a-c7294dc40c65
2163500,Dahlia Pink Quartz,Dahlias Hybrid Pink Quartz,62edf3f4-0901-4c53-821e-a89d7dee9888
2163502,Dahlia Prospero,Null,Null
2161195,Delphinium Assorted,Assorted Delphinium Mixed,39dc2731-1f59-48bc-811a-8dde047f5451
2161197,Delphinium Dark Blue,Blue Dark Delphinium,b1510fe4-dd63-4af8-8344-4776d9b44af2
2161464,Delphinium Elatum Manuela,Null,Null
2148562,Delphinium Sea Waltz Dark Blue,Blue Delphinium Sea Waltz,8e7c3944-669a-4f12-b579-21b9f6277502
2148563,Delphinium Sea Waltz Light Blue,Blue Delphinium Sea Waltz,8e7c3944-669a-4f12-b579-21b9f6277502
2271877,Delphinium Sea Waltz White,Blue Delphinium Sea Waltz,8e7c3944-669a-4f12-b579-21b9f6277502
2161199,Delphinium White,Delphinium Hybrid White,88f3b515-a55b-4f00-9c17-a84d774209d4
2177158,Dendrobium 5N,Null,Null
2177159,Dendrobium Anna,Null,Null
2177160,Dendrobium Apple Green,Null,Null
2177161,Dendrobium Arika,Null,Null
2177164,Dendrobium Beauty Pink,Null,Null
2177162,Dendrobium Bella Purple,Null,Null
2177163,Dendrobium Big Pink,Null,Null
2177165,Dendrobium Big White Jumbo Blue,Null,Null
