competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,1050612,Alstroemeria Galaxy Lavender Select,Alstroemeria,490,Lavender,,150,120.0,0.8,0.29,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-galaxy-lavender-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-galaxy-lavender.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.802367,2025-05-20
Mayesh,1050613,Alstroemeria Galaxy Lavender Super Select,Alstroemeria,490,Lavender,,120,114.0,0.95,0.33,0.42,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-galaxy-lavender-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-galaxy-lavender.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.854592,2025-05-20
Mayesh,14631876,Alstroemeria Green Planet Green Select,Alstroemeria,490,Green,,100,80.0,0.8,0.34,0.25,37.5,2,Flores Del Valle,Ecuador,https://www.mayesh.com/alstroemeria-green-planet-green-select,https://www.mayesh.com/backend/files/flowers/alstroemeria_green_planet_green_1.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.903820,2025-05-20
Mayesh,483770,Alstroemeria Hot Pink Fancy,Alstroemeria,490,Hot Pink,,150,108.0,0.72,0.27,0.29,37.5,19,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-hot-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-hot-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:44:59.952862,2025-05-20
Mayesh,483772,Alstroemeria Hot Pink Select,Alstroemeria,490,Hot Pink,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-hot-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-hot-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.001948,2025-05-20
Mayesh,483771,Alstroemeria Hot Pink Super Select,Alstroemeria,490,Hot Pink,,120,114.0,0.95,0.37,0.36,37.5,19,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-hot-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-hot-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.054662,2025-05-20
Mayesh,483774,Alstroemeria Lavender Fancy,Alstroemeria,490,Lavender,,150,108.0,0.72,0.27,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-lavender-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-lavender.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.102780,2025-05-20
Mayesh,483776,Alstroemeria Lavender Select,Alstroemeria,490,Lavender,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-lavender-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-lavender.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.151247,2025-05-20
Mayesh,483775,Alstroemeria Lavender Super Select,Alstroemeria,490,Lavender,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-lavender-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-lavender.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.200757,2025-05-20
Mayesh,484032,Alstroemeria Nadya Red Fancy,Alstroemeria,490,Red,,150,135.0,0.9,0.35,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-nadya-red-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-nadya-red.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.252709,2025-05-20
Mayesh,484034,Alstroemeria Nadya Red Select,Alstroemeria,490,Red,,150,147.0,0.98,0.4,0.34,37.5,18,,Colombia,https://www.mayesh.com/alstroemeria-nadya-red-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-nadya-red.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.304902,2025-05-20
Mayesh,484033,Alstroemeria Nadya Red Super Select,Alstroemeria,490,Red,,120,139.2,1.16,0.46,0.42,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-nadya-red-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-nadya-red.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.351833,2025-05-20
Mayesh,483782,Alstroemeria Orange Fancy,Alstroemeria,490,Orange,,150,117.0,0.78,0.31,0.29,37.5,19,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-orange-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.399306,2025-05-20
Mayesh,484056,Alstroemeria Orange Queen Orange Fancy,Alstroemeria,490,Orange,,150,124.5,0.83,0.31,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-orange-queen-orange-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-queen-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.448686,2025-05-20
Mayesh,484058,Alstroemeria Orange Queen Orange Select,Alstroemeria,490,Orange,,150,135.0,0.9,0.35,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-orange-queen-orange-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-queen-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.497625,2025-05-20
Mayesh,484057,Alstroemeria Orange Queen Orange Super Select,Alstroemeria,490,Orange,,120,130.8,1.09,0.42,0.42,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-orange-queen-orange-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-queen-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.549361,2025-05-20
Mayesh,483784,Alstroemeria Orange Select,Alstroemeria,490,Orange,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-orange-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.596730,2025-05-20
Mayesh,483783,Alstroemeria Orange Super Select,Alstroemeria,490,Orange,,120,127.2,1.06,0.44,0.36,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-orange-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.645854,2025-05-20
Mayesh,483790,Alstroemeria Pink Fancy,Alstroemeria,490,Pink,,150,112.5,0.75,0.29,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.693009,2025-05-20
Mayesh,483792,Alstroemeria Pink Select,Alstroemeria,490,Pink,,150,123.0,0.82,0.33,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.739912,2025-05-20
Mayesh,483791,Alstroemeria Pink Super Select,Alstroemeria,490,Pink,,120,120.0,1.0,0.4,0.36,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.789275,2025-05-20
Mayesh,1822882,Alstroemeria Pink/White Fancy,Alstroemeria,490,Pink/White,,150,108.0,0.72,0.27,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-pink-white-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-white.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.841494,2025-05-20
Mayesh,1822883,Alstroemeria Pink/White Select,Alstroemeria,490,Pink/White,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-pink-white-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-white.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.893154,2025-05-20
Mayesh,1822884,Alstroemeria Pink/White Super Select,Alstroemeria,490,Pink/White,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-pink-white-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-white.jpg,Super Bella White Alstroemeria white,83dc5f85-4df4-4d2d-b6ef-ec23925b2ec2,0.9117711186408997,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.938308,2025-05-20
Mayesh,484068,Alstroemeria Primadonna Pink Fancy,Alstroemeria,490,Pink,,150,115.5,0.77,0.27,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-primadonna-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-primadonna-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:00.983530,2025-05-20
Mayesh,484070,Alstroemeria Primadonna Pink Select,Alstroemeria,490,Pink,,150,120.0,0.8,0.29,0.34,37.5,19,,Colombia,https://www.mayesh.com/alstroemeria-primadonna-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-primadonna-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.028555,2025-05-20
Mayesh,484069,Alstroemeria Primadonna Pink Super Select,Alstroemeria,490,Pink,,120,114.0,0.95,0.33,0.42,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-primadonna-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-primadonna-pink.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.073997,2025-05-20
Mayesh,646524,Alstroemeria Shakira Green Select,Alstroemeria,490,Green,,100,88.0,0.88,0.39,0.26,37.5,18,Queens Flowers,Colombia,https://www.mayesh.com/alstroemeria-shakira-green-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-shakira-green.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.119140,2025-05-20
Mayesh,484108,Alstroemeria Tampa Orange Fancy,Alstroemeria,490,Orange,,150,124.5,0.83,0.31,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-tampa-orange-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-tampa-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.168360,2025-05-20
Mayesh,484110,Alstroemeria Tampa Orange Select,Alstroemeria,490,Orange,,150,135.0,0.9,0.35,0.34,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-tampa-orange-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-tampa-orange.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.217405,2025-05-20
Mayesh,645935,Alstroemeria Voyager Yellow Fancy,Alstroemeria,490,Yellow,,150,117.0,0.78,0.31,0.29,37.5,18,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-voyager-yellow-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-voyager-yellow.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.266335,2025-05-20
Mayesh,645936,Alstroemeria Voyager Yellow Select,Alstroemeria,490,Yellow,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-voyager-yellow-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-voyager-yellow.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.315270,2025-05-20
