competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,state,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,cleaned_name_used,product_group_key,created_at,eta_date
Mayesh,939558,Aster Carnival Pink,Aster,509,Kentucky,Pink,,17,182.41,10.73,4.85,2.97,37.5,18,,Ecuador,,Aster Carnival Pink,509,2025-06-02,2025-06-10
Mayesh,939556,Aster Carnival Purple,Aster,509,Kentucky,Purple,,17,182.41,10.73,4.85,2.97,37.5,19,,Ecuador,,Aster Carnival Purple,509,2025-06-02,2025-06-10
Mayesh,939557,Aster Carnival White,Aster,509,Kentucky,White,,17,182.41,10.73,4.85,2.97,37.5,17,,Ecuador,,Aster Carnival White,509,2025-06-02,2025-06-10
Mayesh,484140,Aster Matsumoto Assorted,Aster,509,Kentucky,Assorted,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,Aster Matsumoto Assorted,509,2025-06-02,2025-06-10
Mayesh,484141,Aster Matsumoto Hot Pink,Aster,509,Kentucky,Hot Pink,,10,132.9,13.29,5.15,5.05,37.5,4,,Colombia,,Aster Matsumoto Hot Pink,509,2025-06-02,2025-06-10
Mayesh,484141,Aster Matsumoto Hot Pink,Aster,509,Kentucky,Hot Pink,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,Aster Matsumoto Hot Pink,509,2025-06-02,2025-06-10
Mayesh,484144,Aster Matsumoto Pink,Aster,509,Kentucky,Pink,,10,132.9,13.29,5.15,5.05,37.5,1,,Colombia,,Aster Matsumoto Pink,509,2025-06-02,2025-06-10
Mayesh,484145,Aster Matsumoto Purple,Aster,509,Kentucky,Purple,,10,132.9,13.29,5.15,5.05,37.5,10,,Colombia,,Aster Matsumoto Purple,509,2025-06-02,2025-06-10
Mayesh,484145,Aster Matsumoto Purple,Aster,509,Kentucky,Purple,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,Aster Matsumoto Purple,509,2025-06-02,2025-06-10
Mayesh,484146,Aster Matsumoto Red,Aster,509,Kentucky,Red,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,Aster Matsumoto Red,509,2025-06-02,2025-06-10
Mayesh,484146,Aster Matsumoto Red,Aster,509,Kentucky,Red,,10,141.7,14.17,5.7,5.05,37.5,5,,Colombia,,Aster Matsumoto Red,509,2025-06-02,2025-06-10
Mayesh,484147,Aster Matsumoto White,Aster,509,Kentucky,White,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,Aster Matsumoto White,509,2025-06-02,2025-06-10
Mayesh,484147,Aster Matsumoto White,Aster,509,Kentucky,White,,10,132.9,13.29,5.15,5.05,37.5,1,,Colombia,,Aster Matsumoto White,509,2025-06-02,2025-06-10
Mayesh,484153,Aster Montecasino White,Aster,509,Kentucky,White,,10,68.1,6.81,2.41,2.95,37.5,20,,Colombia,,Aster Montecasino White,509,2025-06-02,2025-06-10
Mayesh,1540958,Aster Sungal Purple,Aster,509,Kentucky,Purple,60,18,121.86,6.77,2.48,2.81,37.5,10,,Colombia,,Aster Sungal Purple,509,2025-06-02,2025-06-10
Mayesh,1540958,Aster Sungal Purple,Aster,509,Kentucky,Purple,60,10,68.1,6.81,2.41,2.95,37.5,19,,Colombia,,Aster Sungal Purple,509,2025-06-02,2025-06-10
Mayesh,1540957,Aster Sunrio White,Aster,509,Kentucky,White,60,18,121.86,6.77,2.48,2.81,37.5,10,,Colombia,,Aster Sunrio White,509,2025-06-02,2025-06-10
Mayesh,1051721,Astrantia Burgundy,Astrantia,511,Kentucky,Burgundy,,100,127.0,1.27,0.61,0.3,37.5,2,,Ecuador,,Astrantia Burgundy,511,2025-06-02,2025-06-10
Mayesh,514557,Astrantia Light Pink,Astrantia,511,Kentucky,Light Pink,,100,127.0,1.27,0.61,0.3,37.5,3,,Ecuador,,Astrantia Light Pink,511,2025-06-02,2025-06-10
Mayesh,1053054,Astrantia Pink,Astrantia,511,Kentucky,Pink,,100,127.0,1.27,0.61,0.3,37.5,2,,Ecuador,,Astrantia Pink,511,2025-06-02,2025-06-10
Mayesh,514560,Astrantia White,Astrantia,511,Kentucky,White,,100,118.0,1.18,0.55,0.3,37.5,2,,Ecuador,,Astrantia White,511,2025-06-02,2025-06-10
Mayesh,514564,Atriplex Green,Atriplex,512,Kentucky,Green,,150,231.0,1.54,0.75,0.34,37.5,10,,Ecuador,,Atriplex Green,512,2025-06-02,2025-06-10
Mayesh,666513,Bells of Ireland Green Long,Bells of Ireland,526,Kentucky,Green,,10,141.1,14.11,5.66,5.05,37.5,1,,Ecuador,,Bells of Ireland Green Long,526,2025-06-02,2025-06-10
Mayesh,666512,Bells of Ireland Green Medium,Bells of Ireland,526,Kentucky,Green,,12,144.84,12.07,4.91,4.21,37.5,4,,Ecuador,,Bells of Ireland Green Medium,526,2025-06-02,2025-06-10
Mayesh,1006583,Bells of Ireland Green Xlong,Bells of Ireland,526,Kentucky,Green,,10,148.6,14.86,6.13,5.05,37.5,5,,Ecuador,,Bells of Ireland Green Xlong,526,2025-06-02,2025-06-10
Mayesh,514596,Berzelia Baubles Green,Berzelia,529,Kentucky,Green,,130,211.9,1.63,0.78,0.38,37.5,2,Global Flowers,South Africa,,Berzelia Baubles Green,529,2025-06-02,2025-06-10
Mayesh,514596,Berzelia Baubles Green,Berzelia,529,Kentucky,Green,,130,211.9,1.63,0.78,0.38,37.5,2,Global Flowers,South Africa,,Berzelia Baubles Green,529,2025-06-02,2025-06-10
Mayesh,500207,Bird of Paradise Orange Select,Bird of Paradise,535,Kentucky,Orange,,50,115.5,2.31,0.81,1.01,37.5,14,,Colombia,,Bird of Paradise Orange Select,535,2025-06-02,2025-06-10
Mayesh,6841586,Bouquet Alstro Rose Monochromatic Large,Bouquet,545,Kentucky,,40,12,144.84,12.07,4.91,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Monochromatic Large,545,2025-06-02,2025-06-10
Mayesh,6841588,Bouquet Alstro Rose Monochromatic Large,Bouquet,545,Kentucky,,50,10,153.7,15.37,6.45,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Monochromatic Large,545,2025-06-02,2025-06-10
Mayesh,6841585,Bouquet Alstro Rose Monochromatic Medium,Bouquet,545,Kentucky,,40,14,143.08,10.22,4.13,3.61,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Monochromatic Medium,545,2025-06-02,2025-06-10
Mayesh,6841587,Bouquet Alstro Rose Monochromatic Medium,Bouquet,545,Kentucky,,50,12,153.84,12.82,5.38,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Monochromatic Medium,545,2025-06-02,2025-06-10
Mayesh,6841590,Bouquet Alstro Rose Polychromatic Large,Bouquet,545,Kentucky,,40,12,144.84,12.07,4.91,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Polychromatic Large,545,2025-06-02,2025-06-10
Mayesh,6841592,Bouquet Alstro Rose Polychromatic Large,Bouquet,545,Kentucky,,50,10,153.7,15.37,6.45,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Polychromatic Large,545,2025-06-02,2025-06-10
Mayesh,6841589,Bouquet Alstro Rose Polychromatic Medium,Bouquet,545,Kentucky,,40,14,143.08,10.22,4.13,3.61,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Polychromatic Medium,545,2025-06-02,2025-06-10
Mayesh,6841591,Bouquet Alstro Rose Polychromatic Medium,Bouquet,545,Kentucky,,50,12,153.84,12.82,5.38,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Alstro Rose Polychromatic Medium,545,2025-06-02,2025-06-10
Mayesh,6841557,Bouquet Ambrosial,Bouquet,545,Kentucky,,40,12,230.52,19.21,9.82,3.5,37.5,45,Bellaflor,Ecuador,,Bouquet Ambrosial,545,2025-06-02,2025-06-10
Mayesh,6841558,Bouquet Ambrosial,Bouquet,545,Kentucky,,50,12,302.52,25.21,13.57,3.5,37.5,49,Bellaflor,Ecuador,,Bouquet Ambrosial,545,2025-06-02,2025-06-10
Mayesh,6841582,Bouquet Artisan Large,Bouquet,545,Kentucky,,40,10,171.0,17.1,7.53,5.05,37.5,39,Rosaspe - Much Flowers,Ecuador,,Bouquet Artisan Large,545,2025-06-02,2025-06-10
Mayesh,6841584,Bouquet Artisan Large,Bouquet,545,Kentucky,,50,8,179.12,22.39,10.05,6.31,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Artisan Large,545,2025-06-02,2025-06-10
Mayesh,6841581,Bouquet Artisan Medium,Bouquet,545,Kentucky,,40,12,161.64,13.47,5.79,4.21,37.5,49,Rosaspe - Much Flowers,Ecuador,,Bouquet Artisan Medium,545,2025-06-02,2025-06-10
Mayesh,6841583,Bouquet Artisan Medium,Bouquet,545,Kentucky,,50,12,192.0,16.0,7.37,4.21,37.5,49,Rosaspe - Much Flowers,Ecuador,,Bouquet Artisan Medium,545,2025-06-02,2025-06-10
Mayesh,6841501,Bouquet Biedermeier,Bouquet,545,Kentucky,,25,8,218.48,27.31,13.79,5.24,37.5,49,Bellaflor,Ecuador,,Bouquet Biedermeier,545,2025-06-02,2025-06-10
Mayesh,6841601,Bouquet Botanical,Bouquet,545,Kentucky,,40,10,171.8,17.18,7.58,5.05,37.5,38,Rosaspe - Much Flowers,Ecuador,,Bouquet Botanical,545,2025-06-02,2025-06-10
Mayesh,6841602,Bouquet Botanical,Bouquet,545,Kentucky,,50,8,179.68,22.46,10.09,6.31,37.5,50,Rosaspe - Much Flowers,Ecuador,,Bouquet Botanical,545,2025-06-02,2025-06-10
Mayesh,6841506,Bouquet Brighten Up Large,Bouquet,545,Kentucky,,40,16,200.64,12.54,6.2,2.62,37.5,50,Bellaflor,Ecuador,,Bouquet Brighten Up Large,545,2025-06-02,2025-06-10
Mayesh,6841507,Bouquet Brighten Up Large,Bouquet,545,Kentucky,,50,16,221.6,13.85,7.02,2.62,37.5,49,Bellaflor,Ecuador,,Bouquet Brighten Up Large,545,2025-06-02,2025-06-10
Mayesh,6841504,Bouquet Brighten Up Medium,Bouquet,545,Kentucky,,40,18,173.34,9.63,4.56,2.33,37.5,50,Bellaflor,Ecuador,,Bouquet Brighten Up Medium,545,2025-06-02,2025-06-10
Mayesh,6841505,Bouquet Brighten Up Medium,Bouquet,545,Kentucky,,50,18,189.9,10.55,5.14,2.33,37.5,50,Bellaflor,Ecuador,,Bouquet Brighten Up Medium,545,2025-06-02,2025-06-10
Mayesh,6841502,Bouquet Brighten Up Small,Bouquet,545,Kentucky,,40,24,167.52,6.98,3.27,1.75,37.5,50,Bellaflor,Ecuador,,Bouquet Brighten Up Small,545,2025-06-02,2025-06-10
