competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,image_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,8448957,Achillea Ptarmica Pearl White,Achillea Ptarmica,1181,White,,100,172.0,1.72,0.76,0.51,37.5,3,Rosaspe - Much Flowers,Ecuador,,https://www.mayesh.com/backend/files/flowers/achillea_ptarmica_pearl_1.jpg,,,,achillea pearl ptarmica white,,,,2025-05-22T10:35:39.517338,2025-05-30
Mayesh,490587,Agapanthus Blue,Agapanthus,479,Blue,,70,135.1,1.93,0.83,0.6,37.5,9,Damagro Farms,Ecuador,,https://www.mayesh.com/backend/files/flowers/agapanthus-blue.jpg,Blue Dark  Agapanthus,cef57bc3-3538-4ed8-a971-b1482cb8c134,0.9965240955352783,agapanthus blue,Agapanthus,3261737f-f6a8-415d-825e-431841e44ac7,1.0000001192092896,2025-05-22T10:35:39.634367,2025-05-30
Mayesh,483746,Alstroemeria Assorted Fancy,Alstroemeria,490,Assorted,,150,108.0,0.72,0.27,0.29,37.5,16,C.I. Flores De Funza,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.9979187250137329,alstroemeria assorted fancy,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:39.731378,2025-05-30
Mayesh,483748,Alstroemeria Assorted Select,Alstroemeria,490,Assorted,,150,117.0,0.78,0.31,0.29,37.5,18,C.I. Flores De Funza,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.9980894327163696,alstroemeria assorted select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:39.809489,2025-05-30
Mayesh,490071,Alstroemeria Assorted Super Select,Alstroemeria,490,Assorted,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-assorted.jpg,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.9976861476898193,alstroemeria assorted select super,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:39.942347,2025-05-30
Mayesh,941009,Alstroemeria Dirty Dancing Cream Fancy,Alstroemeria,490,Cream,,150,124.5,0.83,0.31,0.34,37.5,8,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Pink Elegance Alstroemeria,4c3d7cfa-9aa6-4057-bc16-cfdc8f3b9082,0.9958376288414001,alstroemeria cream dancing dirty fancy,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:39.998459,2025-05-30
Mayesh,941010,Alstroemeria Dirty Dancing Cream Select,Alstroemeria,490,Cream,,150,135.0,0.9,0.35,0.34,37.5,10,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Pink Secret Alstroemeria,6f5ba635-4b97-493d-8f62-933466008629,0.9962794780731201,alstroemeria cream dancing dirty select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:40.052661,2025-05-30
Mayesh,941011,Alstroemeria Dirty Dancing Cream Super Select,Alstroemeria,490,Cream,,120,130.8,1.09,0.42,0.42,37.5,5,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dirty-dancing-cream.jpg,Pink Secret Alstroemeria,6f5ba635-4b97-493d-8f62-933466008629,0.9951116442680359,alstroemeria cream dancing dirty select super,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:40.128083,2025-05-30
Mayesh,1032020,Alstroemeria Dubai Light Pink Fancy,Alstroemeria,490,Light Pink,,150,115.5,0.77,0.27,0.34,37.5,16,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,Pink Dubai Alstroemeria,bda391f1-d884-4a0f-8c77-fb4d324658aa,0.9971097707748413,alstroemeria dubai fancy light pink,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:40.175731,2025-05-30
Mayesh,1032021,Alstroemeria Dubai Light Pink Select,Alstroemeria,490,Light Pink,,150,120.0,0.8,0.29,0.34,37.5,20,,Colombia,,https://www.mayesh.com/backend/files/flowers/alstroemeria-dubai-light-pink.jpg,Pink Dubai Alstroemeria,bda391f1-d884-4a0f-8c77-fb4d324658aa,0.9970476627349854,alstroemeria dubai light pink select,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-22T10:35:40.223256,2025-05-30
