competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,created_at,eta_date
Mayesh,14631876,Alstroemeria Green Planet Green Select,Alstroemeria,490,Green,,100,80.0,0.8,0.34,0.25,37.5,1,Flores Del Valle,Ecuador,,2025-05-28,2025-06-06
Mayesh,483770,Alstroemeria Hot Pink Fancy,Alstroemeria,490,Hot Pink,,150,108.0,0.72,0.27,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483772,Alstroemeria Hot Pink Select,Alstroemeria,490,Hot Pink,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483771,Alstroemeria Hot Pink Super Select,Alstroemeria,490,Hot Pink,,120,114.0,0.95,0.37,0.36,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483774,Alstroemeria Lavender Fancy,Alstroemeria,490,Lavender,,150,108.0,0.72,0.27,0.29,37.5,10,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483776,Alstroemeria Lavender Select,Alstroemeria,490,Lavender,,150,117.0,0.78,0.31,0.29,37.5,10,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483775,Alstroemeria Lavender Super Select,Alstroemeria,490,Lavender,,120,114.0,0.95,0.37,0.36,37.5,6,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,484032,Alstroemeria Nadya Red Fancy,Alstroemeria,490,Red,,150,135.0,0.9,0.35,0.34,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,484034,Alstroemeria Nadya Red Select,Alstroemeria,490,Red,,150,147.0,0.98,0.4,0.34,37.5,8,,Colombia,,2025-05-28,2025-06-06
Mayesh,484033,Alstroemeria Nadya Red Super Select,Alstroemeria,490,Red,,120,139.2,1.16,0.46,0.42,37.5,6,,Colombia,,2025-05-28,2025-06-06
Mayesh,483782,Alstroemeria Orange Fancy,Alstroemeria,490,Orange,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,484056,Alstroemeria Orange Queen Orange Fancy,Alstroemeria,490,Orange,,150,124.5,0.83,0.31,0.34,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,484058,Alstroemeria Orange Queen Orange Select,Alstroemeria,490,Orange,,150,135.0,0.9,0.35,0.34,37.5,9,,Colombia,,2025-05-28,2025-06-06
Mayesh,484057,Alstroemeria Orange Queen Orange Super Select,Alstroemeria,490,Orange,,120,130.8,1.09,0.42,0.42,37.5,6,,Colombia,,2025-05-28,2025-06-06
Mayesh,483784,Alstroemeria Orange Select,Alstroemeria,490,Orange,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483783,Alstroemeria Orange Super Select,Alstroemeria,490,Orange,,120,127.2,1.06,0.44,0.36,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483790,Alstroemeria Pink Fancy,Alstroemeria,490,Pink,,150,112.5,0.75,0.29,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483792,Alstroemeria Pink Select,Alstroemeria,490,Pink,,150,123.0,0.82,0.33,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483791,Alstroemeria Pink Super Select,Alstroemeria,490,Pink,,120,120.0,1.0,0.4,0.36,37.5,19,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,1822882,Alstroemeria Pink/White Fancy,Alstroemeria,490,Pink/White,,150,108.0,0.72,0.27,0.29,37.5,10,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,1822883,Alstroemeria Pink/White Select,Alstroemeria,490,Pink/White,,150,117.0,0.78,0.31,0.29,37.5,10,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,1822884,Alstroemeria Pink/White Super Select,Alstroemeria,490,Pink/White,,120,114.0,0.95,0.37,0.36,37.5,6,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,484068,Alstroemeria Primadonna Pink Fancy,Alstroemeria,490,Pink,,150,115.5,0.77,0.27,0.34,37.5,1,,Colombia,,2025-05-28,2025-06-06
Mayesh,484070,Alstroemeria Primadonna Pink Select,Alstroemeria,490,Pink,,150,120.0,0.8,0.29,0.34,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,484069,Alstroemeria Primadonna Pink Super Select,Alstroemeria,490,Pink,,120,114.0,0.95,0.33,0.42,37.5,6,,Colombia,,2025-05-28,2025-06-06
Mayesh,646524,Alstroemeria Shakira Green Select,Alstroemeria,490,Green,,100,88.0,0.88,0.39,0.26,37.5,6,Queens Flowers,Colombia,,2025-05-28,2025-06-06
Mayesh,484108,Alstroemeria Tampa Orange Fancy,Alstroemeria,490,Orange,,150,124.5,0.83,0.31,0.34,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,484110,Alstroemeria Tampa Orange Select,Alstroemeria,490,Orange,,150,135.0,0.9,0.35,0.34,37.5,8,,Colombia,,2025-05-28,2025-06-06
Mayesh,645935,Alstroemeria Voyager Yellow Fancy,Alstroemeria,490,Yellow,,150,117.0,0.78,0.31,0.29,37.5,10,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,645936,Alstroemeria Voyager Yellow Select,Alstroemeria,490,Yellow,,150,127.5,0.85,0.35,0.29,37.5,10,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,1052764,Alstroemeria Whistler White Fancy,Alstroemeria,490,White,,150,135.0,0.9,0.35,0.34,37.5,20,,Colombia,,2025-05-28,2025-06-06
Mayesh,1052765,Alstroemeria Whistler White Select,Alstroemeria,490,White,,150,147.0,0.98,0.4,0.34,37.5,20,,Colombia,,2025-05-28,2025-06-06
Mayesh,1052766,Alstroemeria Whistler White Super Select,Alstroemeria,490,White,,120,139.2,1.16,0.46,0.42,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,483806,Alstroemeria White Fancy,Alstroemeria,490,White,,150,117.0,0.78,0.31,0.29,37.5,9,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483808,Alstroemeria White Select,Alstroemeria,490,White,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,483807,Alstroemeria White Super Select,Alstroemeria,490,White,,120,123.6,1.03,0.42,0.36,37.5,19,C.I. Flores De Funza,Colombia,,2025-05-28,2025-06-06
Mayesh,500277,Amaranthus Hanging Green,Amaranthus,491,Green,,8,182.08,22.76,10.28,6.31,37.5,0,,Ecuador,,2025-05-28,2025-06-06
Mayesh,1937431,Amaranthus Upright Bronze,Amaranthus,491,Bronze,,12,223.56,18.63,9.01,4.21,37.5,2,,Ecuador,,2025-05-28,2025-06-06
Mayesh,513364,Amaranthus Upright Red,Amaranthus,491,Red,,12,223.56,18.63,9.01,4.21,37.5,2,,Ecuador,,2025-05-28,2025-06-06
Mayesh,513365,Anemone Assorted,Anemone,495,Assorted,,120,223.2,1.86,1.01,0.25,37.5,10,,Ecuador,,2025-05-28,2025-06-06
Mayesh,513375,Anemone Black Center White,Anemone,495,White,,120,244.8,2.04,1.12,0.25,37.5,2,Agricola El Chaupi,Ecuador,,2025-05-28,2025-06-06
Mayesh,513367,Anemone Blue,Anemone,495,Blue,,120,223.2,1.86,1.01,0.25,37.5,9,,Ecuador,,2025-05-28,2025-06-06
Mayesh,513366,Anemone Blush,Anemone,495,Blush,,120,223.2,1.86,1.01,0.25,37.5,10,,Ecuador,,2025-05-28,2025-06-06
Mayesh,12983878,Anemone Levante Blue,Anemone,495,Blue,,120,217.2,1.81,1.03,0.16,37.5,10,Rosaprima,Ecuador,,2025-05-28,2025-06-06
Mayesh,12983873,Anemone Levante Fuchsia,Anemone,495,Fuchsia,,120,217.2,1.81,1.03,0.16,37.5,10,Rosaprima,Ecuador,,2025-05-28,2025-06-06
Mayesh,12983877,Anemone Levante Pink,Anemone,495,Pink,,120,217.2,1.81,1.03,0.16,37.5,9,Rosaprima,Ecuador,,2025-05-28,2025-06-06
Mayesh,12983905,Anemone Levante Red,Anemone,495,Red,,120,217.2,1.81,1.03,0.16,37.5,10,Rosaprima,Ecuador,,2025-05-28,2025-06-06
Mayesh,12983858,Anemone Levante White,Anemone,495,White,,120,217.2,1.81,1.03,0.16,37.5,7,Rosaprima,Ecuador,,2025-05-28,2025-06-06
Mayesh,3912336,Anemone Mistral Bordeaux Burgundy,Anemone Mistral,496,Burgundy,,120,244.8,2.04,1.12,0.25,37.5,3,,Ecuador,,2025-05-28,2025-06-06
Mayesh,3111261,Anemone Mistral Grape Purple,Anemone Mistral,496,Purple,,120,244.8,2.04,1.12,0.25,37.5,4,,Ecuador,,2025-05-28,2025-06-06
Mayesh,513373,Anemone Red,Anemone,495,Red,,120,267.6,2.23,1.24,0.25,37.5,2,,Ecuador,,2025-05-28,2025-06-06
Mayesh,514524,Aralia Leaves Green,Aralia,499,Green,,50,70.5,1.41,0.44,0.7,37.5,47,Natural Farms,Colombia,,2025-05-28,2025-06-06
Mayesh,514550,Aspidistra Green,Aspidistra,505,Green,,15,97.05,6.47,2.22,2.91,37.5,9,Underhill Ferneries,United States,,2025-05-28,2025-06-06
Mayesh,514550,Aspidistra Green,Aspidistra,505,Green,,25,125.0,5.0,2.03,1.75,37.5,10,Underhill Ferneries,United States,,2025-05-28,2025-06-06
Mayesh,514551,Aspidistra Variegated,Aspidistra,505,Variegated,,15,154.35,10.29,4.61,2.91,37.5,4,Underhill Ferneries,United States,,2025-05-28,2025-06-06
Mayesh,514551,Aspidistra Variegated,Aspidistra,505,Variegated,,25,221.75,8.87,4.45,1.75,37.5,4,Underhill Ferneries,United States,,2025-05-28,2025-06-06
Mayesh,939558,Aster Carnival Pink,Aster,509,Pink,,17,182.41,10.73,4.85,2.97,37.5,19,,Ecuador,,2025-05-28,2025-06-06
Mayesh,939556,Aster Carnival Purple,Aster,509,Purple,,17,182.41,10.73,4.85,2.97,37.5,20,,Ecuador,,2025-05-28,2025-06-06
Mayesh,939557,Aster Carnival White,Aster,509,White,,17,182.41,10.73,4.85,2.97,37.5,17,,Ecuador,,2025-05-28,2025-06-06
Mayesh,484140,Aster Matsumoto Assorted,Aster,509,Assorted,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,2025-05-28,2025-06-06
Mayesh,484141,Aster Matsumoto Hot Pink,Aster,509,Hot Pink,,10,132.9,13.29,5.15,5.05,37.5,5,,Colombia,,2025-05-28,2025-06-06
Mayesh,484141,Aster Matsumoto Hot Pink,Aster,509,Hot Pink,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,2025-05-28,2025-06-06
Mayesh,484144,Aster Matsumoto Pink,Aster,509,Pink,,10,132.9,13.29,5.15,5.05,37.5,2,,Colombia,,2025-05-28,2025-06-06
Mayesh,484145,Aster Matsumoto Purple,Aster,509,Purple,,10,132.9,13.29,5.15,5.05,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,484145,Aster Matsumoto Purple,Aster,509,Purple,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,2025-05-28,2025-06-06
Mayesh,484146,Aster Matsumoto Red,Aster,509,Red,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,2025-05-28,2025-06-06
Mayesh,484146,Aster Matsumoto Red,Aster,509,Red,,10,141.7,14.17,5.7,5.05,37.5,5,,Colombia,,2025-05-28,2025-06-06
Mayesh,484147,Aster Matsumoto White,Aster,509,White,,7,100.1,14.3,5.19,5.99,37.5,5,Roots Peru,Peru,,2025-05-28,2025-06-06
Mayesh,484147,Aster Matsumoto White,Aster,509,White,,10,132.9,13.29,5.15,5.05,37.5,1,,Colombia,,2025-05-28,2025-06-06
Mayesh,484153,Aster Montecasino White,Aster,509,White,,10,68.1,6.81,2.41,2.95,37.5,20,,Colombia,,2025-05-28,2025-06-06
Mayesh,1540958,Aster Sungal Purple,Aster,509,Purple,60,18,121.86,6.77,2.48,2.81,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,1540958,Aster Sungal Purple,Aster,509,Purple,60,10,68.1,6.81,2.41,2.95,37.5,20,,Colombia,,2025-05-28,2025-06-06
Mayesh,1540957,Aster Sunrio White,Aster,509,White,60,18,121.86,6.77,2.48,2.81,37.5,10,,Colombia,,2025-05-28,2025-06-06
Mayesh,1051721,Astrantia Burgundy,Astrantia,511,Burgundy,,100,127.0,1.27,0.61,0.3,37.5,2,,Ecuador,,2025-05-28,2025-06-06
Mayesh,514557,Astrantia Light Pink,Astrantia,511,Light Pink,,100,127.0,1.27,0.61,0.3,37.5,3,,Ecuador,,2025-05-28,2025-06-06
