competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,60,90.6,1.51,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,84,123.48,1.47,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,168,240.24,1.43,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,40,336,456.96,1.36,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,60,100.2,1.67,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,84,136.08,1.62,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,168,265.44,1.58,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,8464046948661,Akito Rose,Premium Roses,pricetest,50,336,510.72,1.52,,,,akito rose,,,,2025-05-26,2025-06-04
PetalJet,4516904960099,Alarda Jumbo Gerber Daisy 40- -,Jumbo Gerber Daisies,Gerbera,40,60,82.2,1.37,,,,40 alarda daisy gerber jumbo,,,,2025-05-26,2025-06-04
PetalJet,4516904960099,Alarda Jumbo Gerber Daisy 50- -,Jumbo Gerber Daisies,Gerbera,50,40,73.6,1.84,,,,50 alarda daisy gerber jumbo,,,,2025-05-26,2025-06-04
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,48,96.48,2.01,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,72,137.52,1.91,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,144,267.84,1.86,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,50,288,524.16,1.82,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
