competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,cleaned_name_used,created_at,eta_date
PetalJet,8745540583733,Amos Red Carnation,Carantions,Red,70,300,153.0,0.51,Amos Red Carnation,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,60,78.6,1.31,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,84,106.68,1.27,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,168,208.32,1.24,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,336,406.56,1.21,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,60,85.8,1.43,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,84,115.92,1.38,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,168,225.12,1.34,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,336,440.16,1.31,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,60,84,129.36,1.54,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,60,168,250.32,1.49,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,60,252,367.92,1.46,Amsterdam Rose,2025-05-28,2025-06-06
PetalJet,4638435082339,Andrea Cremon Chrysanthemum,Chrysanthemums,Berry,45,70,93.1,1.33,Andrea Cremon Chrysanthemum,2025-05-28,2025-06-06
PetalJet,4638435082339,Andrea Cremon Chrysanthemum,Chrysanthemums,Berry,45,100,130.0,1.3,Andrea Cremon Chrysanthemum,2025-05-28,2025-06-06
PetalJet,4638435082339,Andrea Cremon Chrysanthemum,Chrysanthemums,Berry,65,100,133.0,1.33,Andrea Cremon Chrysanthemum,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,60,80.4,1.34,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,84,108.36,1.29,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,168,215.04,1.28,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,336,420.0,1.25,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,60,87.0,1.45,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,84,116.76,1.39,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,168,231.84,1.38,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,336,453.6,1.35,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,60,84,124.32,1.48,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,60,168,243.6,1.45,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,60,336,467.04,1.39,Andrea Garden Rose,2025-05-28,2025-06-06
PetalJet,10035664290101,Anemone Assorted Box #604,Anemone,assorted,50,80,147.2,1.84,Anemone Assorted Box #604,2025-05-28,2025-06-06
PetalJet,10035664290101,Anemone Assorted Box #604,Anemone,assorted,50,100,170.0,1.7,Anemone Assorted Box #604,2025-05-28,2025-06-06
PetalJet,10035664290101,Anemone Assorted Box #604,Anemone,assorted,50,120,193.2,1.61,Anemone Assorted Box #604,2025-05-28,2025-06-06
PetalJet,10035664290101,Anemone Assorted Box #604,Anemone,assorted,50,200,308.0,1.54,Anemone Assorted Box #604,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,35,80,151.2,1.89,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,35,100,175.0,1.75,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,35,120,200.4,1.67,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,35,200,318.0,1.59,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,40,80,157.6,1.97,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,40,100,184.0,1.84,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,40,120,210.0,1.75,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,40,200,334.0,1.67,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,45,80,164.0,2.05,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,45,100,192.0,1.92,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,45,120,220.8,1.84,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,10035683426613,Anemone Assorted Box #607,Anemone,assorted,45,200,350.0,1.75,Anemone Assorted Box #607,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,40,48,72.48,1.51,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,40,72,103.68,1.44,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,40,144,200.16,1.39,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,50,48,80.64,1.68,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,50,72,115.2,1.6,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,50,144,224.64,1.56,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,60,72,119.52,1.66,Anna Rose,2025-05-28,2025-06-06
PetalJet,4765468229731,Anna Rose,Premium Roses,Light Pink,60,144,233.28,1.62,Anna Rose,2025-05-28,2025-06-06
PetalJet,4375824105571,Apricot Double Stock,Stock,Apricot,60,80,88.0,1.1,Apricot Double Stock,2025-05-28,2025-06-06
PetalJet,4375824105571,Apricot Double Stock,Stock,Apricot,60,140,133.0,0.95,Apricot Double Stock,2025-05-28,2025-06-06
PetalJet,4375824105571,Apricot Double Stock,Stock,Apricot,70,120,129.6,1.08,Apricot Double Stock,2025-05-28,2025-06-06
PetalJet,8146472665397,Apricot Spray Stock,Stock,Apricot,60,70,126.7,1.81,Apricot Spray Stock,2025-05-28,2025-06-06
PetalJet,1827072016445,Ard White Solomio,solomio,Filler Flower,50,120,104.4,0.87,Ard White Solomio,2025-05-28,2025-06-06
PetalJet,1827072016445,Ard White Solomio,solomio,Filler Flower,50,180,147.6,0.82,Ard White Solomio,2025-05-28,2025-06-06
PetalJet,1842284036157,Areca Palm,Greens,Cut Greens,60,200,112.0,0.56,Areca Palm,2025-05-28,2025-06-06
PetalJet,6729504915555,Artemis Butterfly Ranunculus,Ranunculus,Yellow,40,100,248.0,2.48,Artemis Butterfly Ranunculus,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,40,48,82.56,1.72,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,40,72,117.36,1.63,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,40,144,227.52,1.58,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,40,288,437.76,1.52,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,50,48,89.76,1.87,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,50,72,128.16,1.78,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,50,144,249.12,1.73,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,50,288,480.96,1.67,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,60,72,144.0,2.0,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,60,144,279.36,1.94,Artica Rose,2025-05-28,2025-06-06
PetalJet,4396080562275,Artica Rose,Premium Roses,artica,60,288,544.32,1.89,Artica Rose,2025-05-28,2025-06-06
PetalJet,9012421820725,Asiatic Lily 3-5 Bloom Assorted Box #083,Lilies,assorted,70,50,101.0,2.02,Asiatic Lily 3-5 Bloom Assorted Box #083,2025-05-28,2025-06-06
PetalJet,9012424704309,Asiatic Lily 3-5 Bloom Assorted Box #084,Lilies,assorted,70,50,101.0,2.02,Asiatic Lily 3-5 Bloom Assorted Box #084,2025-05-28,2025-06-06
PetalJet,8490188734773,Aspidistra Leaf,Greens,Cut Greens,60,225,114.75,0.51,Aspidistra Leaf,2025-05-28,2025-06-06
PetalJet,6654367596643,Aster Obelix Select Mixed Box #306,Aster,assorted,70,120,111.6,0.93,Aster Obelix Select Mixed Box #306,2025-05-28,2025-06-06
PetalJet,4554242293859,Astrantia Assorted Box #283,Astrantia,assorted,60,80,88.0,1.1,Astrantia Assorted Box #283,2025-05-28,2025-06-06
PetalJet,4554242293859,Astrantia Assorted Box #283,Astrantia,assorted,60,120,124.8,1.04,Astrantia Assorted Box #283,2025-05-28,2025-06-06
PetalJet,4554242293859,Astrantia Assorted Box #283,Astrantia,assorted,70,120,132.0,1.1,Astrantia Assorted Box #283,2025-05-28,2025-06-06
PetalJet,6635822776419,Astroid Cremon Chrysanthemum,Chrysanthemums,Fall,45,70,93.1,1.33,Astroid Cremon Chrysanthemum,2025-05-28,2025-06-06
PetalJet,6635822776419,Astroid Cremon Chrysanthemum,Chrysanthemums,Fall,65,100,133.0,1.33,Astroid Cremon Chrysanthemum,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,40,60,80.4,1.34,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,40,84,108.36,1.29,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,40,168,215.04,1.28,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,40,336,420.0,1.25,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,50,60,90.6,1.51,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,50,84,124.32,1.48,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,50,168,245.28,1.46,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,50,336,470.4,1.4,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,60,84,137.76,1.64,Atomic Rose,2025-05-28,2025-06-06
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,60,168,268.8,1.6,Atomic Rose,2025-05-28,2025-06-06
