competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,50421908144437,Akito Rose,Premium Roses,pricetest,50,336,510.72,1.52,Akito Roses,6958ab90-871d-4d3e-be35-11a496e2118d,0.9834264516830444,,,,2025-05-07,2025-05-15
PetalJet,49758470275381,Alarda Jumbo Gerber Daisy 40- -,Jumbo Gerber Daisies,Gerbera,4045,60,82.2,1.37,,,,,,,2025-05-07,2025-05-15
PetalJet,49758473519413,Alarda Jumbo Gerber Daisy 50- -,Jumbo Gerber Daisies,Gerbera,5055,40,73.6,1.84,,,,,,,2025-05-07,2025-05-15
PetalJet,48430946517301,All 4 Love Garden Rose,Garden Roses,Lavender,50,48,96.48,2.01,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,48430946550069,All 4 Love Garden Rose,Garden Roses,Lavender,50,72,137.52,1.91,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,48430946582837,All 4 Love Garden Rose,Garden Roses,Lavender,50,144,267.84,1.86,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,48430946615605,All 4 Love Garden Rose,Garden Roses,Lavender,50,288,524.16,1.82,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,48430946648373,All 4 Love Garden Rose,Garden Roses,Lavender,60,72,142.56,1.98,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,48430946681141,All 4 Love Garden Rose,Garden Roses,Lavender,60,144,276.48,1.92,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,48430946713909,All 4 Love Garden Rose,Garden Roses,Lavender,60,288,538.56,1.87,All4Love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9765356183052063,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
