color,competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,matched_product_group_name,matched_variety_name,price_per_stem,product_group_key,product_group_score,stem_length,stems_per_unit,unit_price,variety_key,variety_score
Fall,PetalJet,Premium Roses,48430948909365,Africana Orange Rose,2025-05-03,2025-05-13,Premium Roses,,1.14,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,384,437.76,,
Fall,PetalJet,Premium Roses,48430948942133,Africana Orange Rose,2025-05-03,2025-05-13,Premium Roses,,1.32,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,72,95.04,,
Fall,PetalJet,Premium Roses,48430948974901,Africana Orange Rose,2025-05-03,2025-05-13,Premium Roses,,1.29,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,96,123.84,,
Fall,PetalJet,Premium Roses,48430949007669,Africana Orange Rose,2025-05-03,2025-05-13,Premium Roses,,1.26,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,192,241.92,,
Fall,PetalJet,Premium Roses,48430949040437,Africana Orange Rose,2025-05-03,2025-05-13,Premium Roses,,1.25,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,384,480.0,,
pricetest,PetalJet,Premium Roses,49745614143797,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.51,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,60,90.6,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
pricetest,PetalJet,Premium Roses,49745615094069,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.47,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,84,123.48,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
pricetest,PetalJet,Premium Roses,49745619419445,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.43,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,168,240.24,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
pricetest,PetalJet,Premium Roses,50421907685685,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.36,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,336,456.96,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
pricetest,PetalJet,Premium Roses,49745622663477,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.67,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,60,100.2,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
